place,USAF,WBAN,USAF2,WBAN2
Atlanta,722190,13874,,
Beijing,545110,99999,,
Boston,725090,14739,,
Cairo,623660,99999,,
Chicago,725300,94846,,
Houston,722430,12960,,
London,037720,99999,,
Los Angeles,722950,23174,,
Massena,726223,94725,726221,94725
New York City,744860,94789,999999,94789
Milwaukee,726400,14839,,
Oklahoma City,723530,13967,,
Phoenix,722780,23183,,
Pittsburgh,725200,94823,,
San Francisco,724940,23234,,
Svalbard,010080,99999,,
South Pole,890090,90001,,
Tokyo,476710,99999,,
Washington DC,724030,93738,,
